Categoria: Todas as categorias

Mês,dengue: (Brasil),março: (Brasil)
2004-01,4,7
2004-02,5,15
2004-03,10,45
2004-04,10,14
2004-05,7,11
2004-06,7,7
2004-07,3,8
2004-08,5,4
2004-09,5,6
2004-10,5,7
2004-11,15,8
2004-12,6,6
2005-01,4,8
2005-02,6,12
2005-03,8,44
2005-04,6,12
2005-05,8,8
2005-06,7,9
2005-07,4,7
2005-08,5,6
2005-09,5,8
2005-10,7,7
2005-11,12,8
2005-12,5,8
2006-01,7,10
2006-02,11,13
2006-03,17,40
2006-04,19,14
2006-05,12,10
2006-06,7,8
2006-07,4,7
2006-08,5,7
2006-09,5,6
2006-10,6,7
2006-11,10,10
2006-12,4,7
2007-01,7,8
2007-02,10,14
2007-03,20,47
2007-04,27,14
2007-05,20,11
2007-06,11,8
2007-07,6,7
2007-08,6,8
2007-09,7,9
2007-10,11,11
2007-11,14,12
2007-12,8,11
2008-01,9,11
2008-02,11,17
2008-03,43,53
2008-04,100,16
2008-05,32,12
2008-06,16,10
2008-07,5,10
2008-08,6,9
2008-09,5,9
2008-10,7,9
2008-11,11,12
2008-12,5,11
2009-01,7,13
2009-02,12,18
2009-03,19,64
2009-04,13,18
2009-05,10,13
2009-06,6,11
2009-07,4,10
2009-08,4,10
2009-09,4,11
2009-10,4,12
2009-11,7,12
2009-12,5,12
2010-01,7,12
2010-02,15,22
2010-03,22,78
2010-04,20,18
2010-05,13,12
2010-06,7,11
2010-07,4,10
2010-08,5,9
2010-09,5,10
2010-10,5,9
2010-11,8,11
2010-12,4,9
2011-01,7,11
2011-02,13,17
2011-03,20,72
2011-04,20,18
2011-05,13,10
2011-06,8,9
2011-07,5,9
2011-08,5,8
2011-09,5,9
2011-10,6,10
2011-11,7,9
2011-12,5,8
2012-01,6,10
2012-02,7,19
2012-03,11,80
2012-04,10,18
2012-05,11,11
2012-06,7,9
2012-07,5,9
2012-08,4,9
2012-09,4,9
2012-10,4,9
2012-11,4,10
2012-12,3,8
2013-01,7,10
2013-02,14,19
2013-03,22,78
2013-04,29,16
2013-05,14,10
2013-06,8,9
2013-07,5,8
2013-08,4,7
2013-09,4,8
2013-10,4,8
2013-11,5,9
2013-12,3,8
2014-01,4,9
2014-02,6,17
2014-03,10,70
2014-04,19,15
2014-05,16,10
2014-06,7,8
2014-07,5,8
2014-08,5,7
2014-09,4,8
2014-10,5,7
2014-11,6,9
2014-12,4,8
2015-01,7,10
2015-02,17,19
2015-03,41,62
2015-04,46,15
2015-05,31,9
2015-06,14,8
2015-07,7,8
2015-08,6,8
2015-09,5,8
2015-10,5,9
2015-11,8,9
2015-12,19,8
2016-01,22,10
2016-02,59,19
2016-03,58,64
2016-04,37,14
2016-05,18,9
2016-06,9,8
2016-07,5,7
2016-08,5,7
2016-09,4,8
2016-10,4,8
2016-11,6,8
2016-12,5,8
2017-01,7,11
2017-02,9,17
2017-03,10,58
2017-04,9,14
2017-05,6,10
2017-06,4,8
2017-07,3,9
2017-08,3,7
2017-09,4,9
2017-10,5,9
2017-11,5,10
2017-12,4,10
2018-01,6,12
2018-02,6,22
2018-03,7,64
2018-04,7,15
2018-05,6,10
2018-06,4,8
2018-07,3,8
2018-08,3,8
2018-09,3,9
2018-10,3,8
2018-11,5,10
2018-12,5,9
2019-01,7,12
2019-02,14,23
2019-03,20,73
2019-04,29,15
2019-05,31,10
2019-06,18,9
2019-07,8,8
2019-08,6,8
2019-09,5,9
2019-10,5,9
2019-11,5,9
2019-12,6,9
2020-01,11,12
2020-02,21,24
2020-03,28,79
2020-04,19,17
2020-05,15,11
2020-06,11,11
2020-07,8,10
2020-08,5,10
2020-09,4,10
2020-10,4,10
2020-11,4,10
2020-12,5,11
2021-01,6,12
2021-02,8,21
2021-03,12,87
2021-04,13,16
2021-05,11,10
